a,b,co_enable,conflict
IsApathetic,IsMasochist,0,3
IsCraven,IsGenius,0,2
IsDiligent,IsMasochist,0,1
IsFinicky,IsMasochist,0,1
IsLoyal,IsMasochist,0,2
IsGenius,IsPessimist,0,3
IsMasochist,IsPessimist,0,3
IsMasochist,IsPushover,0,2
IsOptimist,IsPushover,0,3
IsGenius,IsTrusting,0,2
IsArrogant,IsMasochist,0,1
IsBrave,IsDiligent,0,1
IsComplacent,IsMasochist,0,2
IsMasochist,IsRepulsive,0,1
IsPessimist,IsRepulsive,0,6
IsAgliophobic,IsStubborn,0,3
IsDiligent,IsStubborn,0,1
IsMasochist,IsStubborn,0,1
IsDiligent,IsTreacherous,0,1
IsMasochist,IsTreacherous,0,1
IsObtuse,IsTreacherous,0,2
IsComedian,IsComplacent,0,8
IsAgliophobic,IsLiar,0,1
IsAgliophobic,IsSelfless,0,1
IsCraven,IsLiar,0,1
IsBrave,IsFinicky,0,1
IsFinicky,IsLiar,0,1
IsArrogant,IsHonest,0,1
IsBrave,IsHonest,0,1
IsCruel,IsHonest,0,1
IsHonest,IsShy,0,1
IsHonest,IsTreacherous,0,1
IsLiar,IsObservant,0,1
IsObservant,IsTreacherous,0,4
IsLiar,IsTrusting,0,1
IsGenius,IsImpatient,0,1
IsGenius,IsSelfish,0,1
IsAgliophobic,IsLeader,0,5
IsComplacent,IsLeader,0,7
IsObservant,IsStubborn,0,1
IsLeader,IsTreacherous,0,2
IsComplacent,IsForgiving,0,1
IsComplacent,IsSelfish,0,2
IsForgiving,IsLoyal,0,1
IsHumorless,IsLustful,0,4
IsHumorless,IsVengeful,0,1
IsAmbitious,IsTemperate,0,1
IsApathetic,IsGlutton,0,1
IsComplacent,IsGlutton,0,1
IsGlutton,IsQuitter,0,1
IsGlutton,IsShy,0,3
IsGlutton,IsTreacherous,0,1
IsObtuse,IsTemperate,0,1
IsOptimist,IsTemperate,0,1
IsRepulsive,IsTemperate,0,1
IsSelfish,IsTemperate,0,1
IsCharismatic,IsStubborn,0,1
IsLeader,IsStubborn,0,1
IsStubborn,IsTemperate,0,1
IsCraven,IsGlutton,0,2
IsMasochist,IsShy,0,3
IsMasochist,IsQuitter,0,1
IsAmbitious,IsChaste,0,4
IsCharismatic,IsComplacent,0,1
IsChaste,IsLeader,0,4
IsComplacent,IsLustful,0,4
IsChaste,IsOptimist,0,4
IsChaste,IsComedian,0,3
IsComedian,IsQuitter,0,3
IsAgliophobic,IsGregarious,0,3
IsAgliophobic,IsLustful,0,3
IsLustful,IsQuitter,0,3
IsBeautiful,IsChaste,0,3
IsBeautiful,IsOblivious,0,3
IsBeautiful,IsRepulsive,0,3
IsBeautiful,IsSuspicious,0,3
IsBrave,IsSuspicious,0,3
IsCharismatic,IsSuspicious,0,3
IsGregarious,IsSuspicious,0,3
IsLustful,IsSuspicious,0,3
